hour,ambient_temp,battery_temp,soc,energy,efficiency
1,24.98436037247939,25.08436037247939,0.88,190.0,0.95
2,26.23054866571808,26.34285415237526,0.9,10.000000000000009,0.9438472566714096
3,25.2368012484737,25.339169260958435,0.9,0.0,0.9488159937576315
4,26.94791229963294,27.067391422629267,0.9,0.0,0.9402604385018353
5,26.66723422694947,26.783906569218967,0.9,0.0,0.9416638288652526
6,28.08150460041973,28.21231964642393,0.9,0.0,0.9345924769979013
7,29.442953159919004,29.587382691518194,0.9,0.0,0.9277852342004049
8,31.096034906089816,31.256995255150713,0.9,0.0,0.9195198254695509
9,30.673678708691323,30.830415495778237,0.9,0.0,0.9216316064565433
10,31.827026423691105,31.99529668792802,0.9,0.0,0.9158648678815444
11,31.746900866967533,31.91436987563721,0.9,0.0,0.9162654956651622
12,32.090498636406934,32.261403622771006,0.9,0.0,0.9145475068179653
13,32.92168333068101,33.10090016398782,0.9,0.0,0.9103915833465949
14,32.91261007370668,33.091736174443746,0.9,0.0,0.9104369496314666
15,32.93726878361629,33.11664147145245,0.9,0.0,0.9103136560819185
16,31.46645937137796,31.631123965091742,0.9,0.0,0.9176677031431102
17,31.413423625195595,31.577557861447552,0.9,0.0,0.917932881874022
18,29.10201093923348,29.243031048625816,0.9,0.0,0.9294899453038326
19,28.547125924967013,28.682597184216682,0.9,0.0,0.9322643703751649
20,28.051571731172785,28.182087448484513,0.9,0.0,0.934742141344136
21,26.705671319967948,26.82272803316763,0.9,0.0,0.9414716434001602
22,27.043983804564583,27.164423642610227,0.9,0.0,0.939780080977177
23,25.03869629235905,25.13908325528264,0.9,0.0,0.9498065185382047
24,25.83186269222919,25.94018131915148,0.9,0.0,0.945840686538854
25,28.55860054537827,28.69418655083205,0.9,0.0,0.9322069972731086
26,22.423595786975277,22.523595786975278,0.9,0.0,0.95
27,25.93032569247172,26.039628949396437,0.9,0.0,0.9453483715376414
28,26.659136028666328,26.77572738895299,0.9,0.0,0.9417043198566684
29,29.435740772503436,29.58009818022847,0.9,0.0,0.9278212961374828
30,30.029861602398864,30.180160218422852,0.9,0.0,0.9248506919880056
31,29.698503597408685,29.84548863338277,0.9,0.0,0.9265074820129565
32,30.359568874075347,30.5131645628161,0.9,0.0,0.9232021556296233
33,31.87532144955444,32.04407466404999,0.9,0.0,0.9156233927522277
34,32.472019014668334,32.64673920481502,0.9,0.0,0.9126399049266583
35,34.65254799337526,34.84907347330901,0.9,0.0,0.9017372600331237
36,33.91101907653998,34.10012926730538,0.9,0.0,0.9054449046173001
37,32.2641599748774,32.43680157462617,0.9,0.0,0.913679200125613
38,32.79553389469395,32.97348923364089,0.9,0.0,0.9110223305265301
39,30.64180381671243,30.798221854879554,0.9,0.0,0.9217909809164379
40,32.37051727243764,32.54422244516201,0.9,0.0,0.9131474136378117
41,32.96957073365546,33.149266440992015,0.9,0.0,0.9101521463317227
42,29.418534909382945,29.562720258476773,0.9,0.0,0.9279073254530852
43,29.17863867243225,29.320425059156573,0.9,0.0,0.9291068066378387
44,27.094514805026638,27.215459953076905,0.9,0.0,0.9395274259748667
45,28.04296601450937,28.173395674654465,0.9,0.0,0.9347851699274531
46,26.201762531430106,26.313780156744407,0.9,0.0,0.9439911873428495
47,25.19385432516972,25.29579286842142,0.9,0.0,0.9490307283741514
48,24.645212924812544,24.745212924812545,0.9,0.0,0.95
49,25.49768228190106,25.602659104720072,0.9,0.0,0.9475115885904947
50,26.302868617129707,26.415897303301005,0.9,0.0,0.9434856569143514
51,25.51780194088655,25.622979960295414,0.9,0.0,0.9474109902955672
52,28.888647362580496,29.027533836206302,0.9,0.0,0.9305567631870975
53,28.655745630933428,28.79230308724276,0.9,0.0,0.9317212718453328
54,28.232267374474585,28.36459004821933,0.9,0.0,0.933838663127627
55,30.84752779372017,31.006003071657375,0.9,0.0,0.9207623610313991
56,31.72434799049222,31.89159147039714,0.9,0.0,0.9163782600475389
57,31.315728412050028,31.47888569617053,0.9,0.0,0.9184213579397498
58,30.697970279242888,30.85494998203532,0.9,0.0,0.9215101486037856
59,32.080405157841845,32.25120920942027,0.9,0.0,0.9145979742107907
60,34.3416874102943,34.53510428439724,0.9,0.0,0.9032915629485284
61,30.779712085508947,30.937509206364037,0.9,0.0,0.9211014395724553
62,32.61211422854967,32.78823537083517,0.9,0.0,0.9119394288572515
63,32.20403271036798,32.37607303747166,0.9,0.0,0.91397983644816
64,32.800326688194126,32.97832995507607,0.9,0.0,0.9109983665590293
65,30.2158119875172,30.36797010739237,0.9,0.0,0.923920940062414
66,29.568399468982456,29.71408346367228,0.9,0.0,0.9271580026550876
67,29.993588933447143,30.143524822781615,0.9,0.0,0.9250320553327642
68,28.59538288756811,28.731336716443792,0.9,0.0,0.9320230855621594
69,28.45509280134157,28.589643729354986,0.9,0.0,0.9327245359932921
70,26.64879469083117,26.76528263773948,0.9,0.0,0.9417560265458441
71,27.139511238542607,27.260906350928032,0.9,0.0,0.9393024438072869
72,26.013611549157147,26.123747664648718,0.9,0.0,0.9449319422542142
73,24.38753042395635,24.48753042395635,0.9,0.0,0.95
74,25.539471282993254,25.64486599582319,0.9,0.0,0.9473026435850337
75,24.82972275495621,24.929722754956213,0.9,0.0,0.95
76,27.302886703924944,27.425915570964193,0.9,0.0,0.9384855664803753
77,27.69540094301995,27.82235495245015,0.9,0.0,0.9365229952849002
78,27.870808593417014,27.999516679351185,0.9,0.0,0.9356459570329149
79,29.54359565931008,29.68903161590318,0.9,0.0,0.9272820217034495
80,30.856170680080385,31.01473238688119,0.9,0.0,0.9207191465995981
81,31.534340524038388,31.699683929278773,0.9,0.0,0.917328297379808
82,31.96481744458233,32.134465619028155,0.9,0.0,0.9151759127770883
83,32.848654654225854,33.02714120076811,0.9,0.0,0.9107567267288706
84,33.95416607370237,34.14370773443939,0.9,0.0,0.9052291696314881
85,32.19661137034952,32.36857748405302,0.9,0.0,0.9140169431482523
86,31.08272220686247,31.243549428931097,0.9,0.0,0.9195863889656876
87,32.56065339652715,32.73625993049242,0.9,0.0,0.9121967330173641
88,32.126348412781574,32.29761189690939,0.9,0.0,0.9143682579360921
89,31.538100837426807,31.703481845801075,0.9,0.0,0.9173094958128659
90,29.082636506359883,29.223462871423482,0.9,0.0,0.9295868174682005
91,28.8471452090977,28.98561666118868,0.9,0.0,0.9307642739545114
92,27.184119850166653,27.30596104866832,0.9,0.0,0.9390794007491667
93,31.09135692951869,31.252270498813875,0.9,0.0,0.9195432153524065
94,26.36374930454533,26.477386797590782,0.9,0.0,0.9431812534772733
95,25.664072197464595,25.77071291943924,0.9,0.0,0.9466796390126769
96,28.38183699909087,28.515655369081777,0.9,0.0,0.9330908150045456
97,26.098626551721026,26.209612817238234,0.9,0.0,0.9445068672413949
98,25.73545063568987,25.842805142046767,0.9,0.0,0.9463227468215506
99,27.0327077863984,27.153034864262384,0.9,0.0,0.939836461068008
100,28.836020995090443,28.974381205041347,0.9,0.0,0.9308198950245478
101,27.541095989081278,27.666506948972092,0.9,0.0,0.9372945200545936
102,29.04824608583225,29.188728546690573,0.9,0.0,0.9297587695708387
103,29.613744525889587,29.75988197114848,0.9,0.0,0.926931277370552
104,31.01483135196761,31.17497966548729,0.9,0.0,0.9199258432401619
105,31.85556636817913,32.02412203186092,0.9,0.0,0.9157221681591043
106,31.30054173850621,31.463547155891273,0.9,0.0,0.9184972913074689
107,31.59194424611716,31.75786368857833,0.9,0.0,0.9170402787694142
108,34.14804357918688,34.33952401497875,0.9,0.0,0.9042597821040655
109,33.53429965468197,33.719642651228796,0.9,0.0,0.9073285017265901
110,32.33097957768208,32.5042893734589,0.9,0.0,0.9133451021115896
111,32.25872337712001,32.43131061089122,0.9,0.0,0.9137063831143999
112,32.03591717985132,32.206276351649834,0.9,0.0,0.9148204141007433
113,30.54050643664121,30.695911501007622,0.9,0.0,0.9222974678167939
114,30.49122267047772,30.646134897182495,0.9,0.0,0.9225438866476113
115,29.86708327811588,30.015754110897042,0.9,0.0,0.9256645836094205
116,29.020381095805572,29.160584906763628,0.9,0.0,0.929898094520972
117,25.81695418248049,25.925123724305294,0.9,0.0,0.9459152290875975
118,26.866497829789893,26.985162808087793,0.9,0.0,0.9406675108510505
119,28.75268199982655,28.890208819824814,0.9,0.0,0.9312365900008672
120,25.285489771589276,25.38834466930517,0.9,0.0,0.9485725511420535
121,25.52654995634102,25.63181545590443,0.9,0.0,0.9473672502182948
122,26.76416492843407,26.88180657771841,0.9,0.0,0.9411791753578296
123,26.29943637843671,26.412430742221076,0.9,0.0,0.9435028181078164
124,26.159358616232375,26.2709522023947,0.9,0.0,0.9442032069188381
125,28.16028602233568,28.291888882559036,0.9,0.0,0.9341985698883215
126,28.815638049271698,28.953794429764415,0.9,0.0,0.9309218097536415
127,30.926618451800685,31.085884636318692,0.9,0.0,0.9203669077409965
128,28.86204764183515,29.000668118253504,0.9,0.0,0.9306897617908242
129,29.97602573319694,30.12578599052891,0.9,0.0,0.9251198713340153
130,31.71815977696136,31.885341374730974,0.9,0.0,0.9164092011151932
131,31.245133583870174,31.407584919708878,0.9,0.0,0.9187743320806491
132,33.01075300056009,33.19086053056569,0.9,0.0,0.9099462349971995
133,33.74602056866369,33.93348077435032,0.9,0.0,0.9062698971566815
134,33.092758257305405,33.27368583987846,0.9,0.0,0.909536208713473
135,33.829311430263786,34.017604544566424,0.9,0.0,0.9058534428486811
136,31.947469866093225,32.11694456475416,0.9,0.0,0.9152626506695338
137,29.47725023305742,29.622022735387993,0.9,0.0,0.9276137488347128
138,31.749897739400016,31.917396716794016,0.9,0.0,0.9162505113029998
139,29.36504618071097,29.50869664251808,0.9,0.0,0.9281747690964451
140,28.0891013958576,28.219992409816175,0.9,0.0,0.9345544930207119
141,26.611461572844785,26.727576188573234,0.9,0.0,0.9419426921357761
142,27.954065951538624,28.08360661105401,0.9,0.0,0.9352296702423069
143,27.016628036065818,27.136794316426474,0.9,0.0,0.9399168598196709
144,28.41722877410393,28.55140106184497,0.9,0.0,0.9329138561294803
145,28.24433197171099,28.376775291428103,0.9,0.0,0.933778340141445
146,26.859823458182888,26.978421692764716,0.9,0.0,0.9407008827090855
147,25.74307012310006,25.85050082433106,0.9,0.0,0.9462846493844996
148,28.280696270637968,28.413503233344347,0.9,0.0,0.9335965186468101
149,27.62770265904348,27.753979685633915,0.9,0.0,0.9368614867047825
150,27.627990569212237,27.75427047490436,0.9,0.0,0.9368600471539388
151,29.60406469511,29.7501053420611,0.9,0.0,0.9269796765244499
152,30.08173926377293,30.23255665641066,0.9,0.0,0.9245913036811353
153,30.727373305040864,30.884647038091273,0.9,0.0,0.9213631334747956
154,30.46655167324378,30.62121718997622,0.9,0.0,0.922667241633781
155,31.03348228108645,31.193817103897313,0.9,0.0,0.9198325885945677
156,32.751307748947845,32.928820826437324,0.9,0.0,0.9112434612552607
